carrera,plan,total_materias,total_horas,req_total_creditos_aca,tipo_titulo
Licenciatura en Informática,2018,45,3520,0,Grado
Tecnicatura en Programación,2022,19,1440,35,Pregrado
Tecnicatura en Programación,2025,17,1120,12,Pregrado
Licenciatura en Informática,2025,45,3008,30,Grado
Tecnicatura en Redes,2022,20,1408,35,Pregrado
Tecnicatura en Redes,2025,16,1056,12,Pregrado
Licenciatura en Ciberseguridad,2025,31,2112,30,Grado
Tecnicatura en Videojuegos,2022,19,1408,35,Pregrado
Tecnicatura en Videojuegos,2025,16,1056,12,Pregrado
Licenciatura en Videojuegos,2025,31,2112,30,Grado
Tecnicatura en Inteligencia Artificial,2023,22,1392,20,Pregrado
Tecnicatura en Inteligencia Artificial,2025,20,1312,12,Pregrado
